BlueDriver Data Log
Aug 27, 2018 12:40:24 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,
3.1,58,8.0,91.0,101,17,30.4,21,40.4,1296,1.2,14.015,36,6.9
6.2,59,8.0,91.0,101,18,29.3,21,35.4,1116,1.6,13.606,36,6.7
9.3,60,8.0,91.0,101,17,23.8,21,28.8,1215,0.4,13.425,36,5.5
12.4,60,8.0,91.0,101,11,24.9,20,31.0,1082,0.4,13.240,35,5.5
15.5,61,8.0,91.0,101,1,33.6,20,42.7,853,0.4,12.992,35,5.5
18.6,61,8.0,91.0,101,1,48.7,20,54.7,1311,3.9,12.960,35,8.9
21.7,62,8.0,91.0,101,11,59.1,20,67.0,1778,12.2,12.960,35,16.8
24.8,62,8.0,91.0,101,18,26.8,19,32.5,1520,3.1,12.960,35,8.1
27.9,63,8.0,91.0,101,17,17.4,19,19.9,1148,0.4,12.966,34,4.0
31.0,64,8.0,91.0,101,10,17.3,19,22.2,988,0.4,12.995,34,4.9
34.1,65,8.0,90.7,101,10,54.7,19,61.0,2065,10.2,12.804,34,13.9
37.2,65,8.0,90.6,101,16,65.0,19,73.2,1576,11.1,12.960,34,16.5
40.3,67,22.7,90.9,101,21,54.6,18,67.6,1345,4.4,13.031,33,11.5
43.4,67,41.5,90.7,101,22,23.7,18,28.2,1284,0.5,13.022,33,5.9
46.5,68,55.5,90.7,101,21,30.9,18,34.3,1367,1.4,12.919,33,7.5
49.6,68,66.5,90.6,101,22,36.9,18,43.8,1209,2.7,12.957,33,7.3
52.7,69,83.1,90.6,101,23,34.7,18,41.8,1137,2.7,12.960,33,7.0
55.8,69,93.5,90.6,101,23,23.5,18,26.7,1114,0.5,12.838,33,5.9
58.9,70,99.4,90.6,101,22,24.0,18,28.1,1263,0.3,12.895,33,5.9
62.0,70,109.3,90.6,101,21,25.9,17,30.2,1287,0.3,12.960,32,6.1
65.1,71,118.0,90.6,101,20,25.9,17,30.2,1284,0.4,12.960,32,5.9
68.2,71,125.2,90.6,101,17,26.0,17,30.6,1252,0.4,12.853,32,5.9
